behavior_id,customer_id,transaction_id,device_id,login_timestamp,logout_timestamp,session_duration_minutes,behavior_risk_score,account_takeover_suspected,transaction_frequency_24h,avg_transaction_amount_7d,failed_transaction_count_24h,unusual_amount_flag,unusual_location_flag,typing_speed_flag,fraud_flag,fraud_risk,created_at
BEH_00001,CUST_00909,TX_856FDE01DB764168A78C00223AC319BD,DEV_00458,2026-02-03 23:05:56,2026-02-03 23:28:56,2,16.75,False,2,248.5,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00002,CUST_01768,TX_5A1D2AC66918474B8AB7FE46FB33F1E2,DEV_01409,2026-06-07 10:18:56,2026-06-07 10:31:56,2,2.9,False,1,46.28,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00003,CUST_00551,TX_45A085039A94472DBF91589039B3BAE6,DEV_01300,2026-02-24 02:54:56,2026-02-24 03:17:56,2,33.09,False,3,320.99,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00004,CUST_01315,TX_2B415F6826304EB5B2E8760638940F27,DEV_01381,2026-03-24 17:17:56,2026-03-24 17:33:56,3,31.11,False,4,405.02,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00005,CUST_01581,TX_C9C1FCF008B04B418916F1EB1DEAAB90,DEV_01148,2026-03-27 10:39:56,2026-03-27 10:59:56,2,13.31,False,1,86.21,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00006,CUST_01605,TX_AF809A8B2FD8495FB8E1D2C5A35C0553,DEV_00771,2026-02-08 10:20:56,2026-02-08 10:35:56,3,22.23,False,3,281.08,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00007,CUST_01821,TX_6F622E7F6218406EB3FA1C92C2F9C309,DEV_00596,2026-01-27 07:22:56,2026-01-27 07:30:56,1,1.84,False,2,27.94,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00008,CUST_01177,TX_3282D6A819B14F70A703C1E128A34D71,DEV_00183,2026-03-19 11:03:56,2026-03-19 11:14:56,4,32.57,False,1,252.74,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00009,CUST_00622,TX_D519AD0F544D4E629E93A2A441899E00,DEV_00857,2026-01-09 21:30:56,2026-01-09 21:47:56,1,14.08,False,3,196.08,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00010,CUST_01202,TX_595C1E48E57241BEB6580B64C5646642,DEV_01194,2026-02-23 09:39:56,2026-02-23 09:49:56,4,23.54,False,1,423.76,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00011,CUST_01998,TX_7F20E34324334ECB93C295C005D05A0D,DEV_01330,2026-05-19 18:21:56,2026-05-19 18:34:56,3,10.52,False,4,222.28,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00012,CUST_01412,TX_A79B2F808BBD4A6CA7EC13CBFB4C01D5,DEV_00375,2026-01-10 17:36:56,2026-01-10 17:55:56,4,4.44,False,4,271.51,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00013,CUST_00042,TX_914659DCD76244E1940BD7A478A42FC0,DEV_00091,2026-02-02 10:43:56,2026-02-02 10:58:56,4,12.86,False,2,470.59,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00014,CUST_01440,TX_7854665192C141A188C6550578BCC31D,DEV_00838,2026-05-03 16:41:56,2026-05-03 17:01:56,1,18.4,False,4,219.26,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00015,CUST_00483,TX_9CFB9EF38FFF42459DA432A9B589E733,DEV_00425,2026-01-03 15:26:56,2026-01-03 15:45:56,3,3.71,False,2,19.2,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00016,CUST_01635,TX_36F5BEB8636F4C49B86BF57528608CF7,DEV_00477,2026-03-22 17:16:56,2026-03-22 17:22:56,4,31.59,False,2,110.95,0,False,True,False,False,LOW,2026-06-14 12:32:57
BEH_00017,CUST_01789,TX_1178AB1ED2DF4CD1BB423868E93E7BED,DEV_00606,2026-05-17 16:33:56,2026-05-17 16:49:56,4,21.73,False,2,222.78,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00018,CUST_00118,TX_73357F1F758F4C3B949D5B48526614A1,DEV_00974,2026-05-17 06:55:56,2026-05-17 07:10:56,2,18.3,False,2,257.52,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00019,CUST_00701,TX_8905791138FF419AA8FC6436C3BC116A,DEV_00935,2026-02-01 06:15:56,2026-02-01 06:29:56,4,25.78,False,1,353.04,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00020,CUST_01063,TX_FBBFC83CEFAE4E71A9DC2CC562FE8FCF,DEV_00042,2026-02-04 03:15:56,2026-02-04 03:18:56,2,14.09,False,3,385.18,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00021,CUST_00379,TX_18F8EA7F67394AAD872815C144FCA664,DEV_00830,2026-02-10 07:52:56,2026-02-10 08:05:56,1,15.18,False,2,136.18,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00022,CUST_00865,TX_6CB5AFFB47D34541AFDB961D5FA76B8E,DEV_01311,2026-02-16 12:50:56,2026-02-16 13:05:56,3,18.82,False,3,466.4,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00023,CUST_01796,TX_3598E30156C54CD281A54A7374C37B13,DEV_01462,2026-02-02 09:23:56,2026-02-02 09:37:56,3,39.62,False,2,478.36,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00024,CUST_01370,TX_2328E4532FBD49B6919297B82CD2DDCD,DEV_00287,2026-01-01 13:06:56,2026-01-01 13:28:56,4,34.68,False,2,56.4,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00025,CUST_01523,TX_C35292BD0D234B3C9A1B63379C1D78F8,DEV_00566,2026-03-13 08:18:56,2026-03-13 08:38:56,1,1.72,False,1,304.85,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00026,CUST_00409,TX_CB22BD60EA35495B872CF8A13698F48E,DEV_01325,2026-05-03 04:42:56,2026-05-03 04:56:56,1,18.87,False,4,467.95,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00027,CUST_01126,TX_66F748A36BB94402BA3F34264E2E2736,DEV_00917,2026-02-23 19:04:56,2026-02-23 19:20:56,1,30.87,False,4,205.97,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00028,CUST_01198,TX_6F79ACCA3B8846A1977E0B1E6F50F33C,DEV_01414,2026-03-14 22:18:56,2026-03-14 22:25:56,1,13.15,False,2,388.08,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00029,CUST_00289,TX_00774337CBB1466FBD5AE258023F4ABA,DEV_00726,2026-04-13 22:30:56,2026-04-13 22:38:56,4,31.26,False,2,165.23,0,False,False,False,False,LOW,2026-06-14 12:32:57
BEH_00030,CUST_01416,TX_6635930342F140D4973D8B5B1D970243,DEV_00437,2025-12-19 13:30:56,2025-12-19 13:41:56,3,8.55,False,2,463.15,0,False,False,False,False,LOW,2026-06-14 12:32:57
