customer_beneficiary_id,customer_id,beneficiary_id,first_transaction_date,last_transaction_date,relationship_risk_score
CBEN_00001,CUST_01321,BENE_01545,2025-06-12 12:32:56.109051,2026-05-30 12:32:56.109059,41.64
CBEN_00002,CUST_01005,BENE_00758,2026-01-31 12:32:56.109070,2026-06-09 12:32:56.109072,13.77
CBEN_00003,CUST_00404,BENE_02049,2026-02-07 12:32:56.109077,2026-05-10 12:32:56.109078,22.04
CBEN_00004,CUST_00890,BENE_02650,2025-07-24 12:32:56.109081,2026-05-07 12:32:56.109083,30.12
CBEN_00005,CUST_00804,BENE_00806,2025-06-22 12:32:56.109085,2026-04-18 12:32:56.109086,28.25
CBEN_00006,CUST_00287,BENE_02574,2026-02-05 12:32:56.109088,2026-05-12 12:32:56.109090,28.81
CBEN_00007,CUST_01459,BENE_02845,2025-12-16 12:32:56.109092,2026-06-13 12:32:56.109093,39.04
CBEN_00008,CUST_00872,BENE_02999,2026-01-10 12:32:56.109095,2026-05-09 12:32:56.109096,14.34
CBEN_00009,CUST_00874,BENE_00336,2025-10-13 12:32:56.109098,2026-06-04 12:32:56.109099,3.74
CBEN_00010,CUST_01388,BENE_00656,2025-10-14 12:32:56.109101,2026-06-10 12:32:56.109102,16.02
CBEN_00011,CUST_01556,BENE_02096,2026-03-20 12:32:56.109104,2026-05-09 12:32:56.109105,46.78
CBEN_00012,CUST_01757,BENE_01848,2026-02-20 12:32:56.109107,2026-05-08 12:32:56.109109,4.8
CBEN_00013,CUST_01447,BENE_01129,2025-05-16 12:32:56.109111,2026-05-18 12:32:56.109112,2.67
CBEN_00014,CUST_01363,BENE_01969,2025-07-10 12:32:56.109114,2026-05-22 12:32:56.109115,37.21
CBEN_00015,CUST_00708,BENE_01954,2025-07-19 12:32:56.109117,2026-05-08 12:32:56.109118,21.05
CBEN_00016,CUST_01249,BENE_00694,2025-12-02 12:32:56.109122,2026-05-05 12:32:56.109123,46.79
CBEN_00017,CUST_00160,BENE_00774,2026-03-12 12:32:56.109125,2026-05-09 12:32:56.109126,48.66
CBEN_00018,CUST_01930,BENE_02116,2025-11-27 12:32:56.109128,2026-06-13 12:32:56.109129,29.71
CBEN_00019,CUST_00140,BENE_00061,2025-12-13 12:32:56.109131,2026-05-10 12:32:56.109132,98.31
CBEN_00020,CUST_01796,BENE_01725,2025-09-08 12:32:56.109134,2026-05-22 12:32:56.109136,49.5
CBEN_00021,CUST_01803,BENE_00168,2025-08-23 12:32:56.109138,2026-06-09 12:32:56.109139,31.11
CBEN_00022,CUST_00085,BENE_01611,2026-01-10 12:32:56.109141,2026-04-17 12:32:56.109142,24.98
CBEN_00023,CUST_00534,BENE_01715,2026-03-20 12:32:56.109143,2026-05-01 12:32:56.109145,47.64
CBEN_00024,CUST_01621,BENE_01373,2025-12-07 12:32:56.109147,2026-05-12 12:32:56.109148,22.87
CBEN_00025,CUST_00953,BENE_00403,2025-07-18 12:32:56.109149,2026-05-14 12:32:56.109151,1.85
CBEN_00026,CUST_01049,BENE_01248,2025-09-23 12:32:56.109153,2026-05-20 12:32:56.109154,7.66
CBEN_00027,CUST_01428,BENE_01888,2026-04-01 12:32:56.109156,2026-04-20 12:32:56.109157,39.29
CBEN_00028,CUST_00536,BENE_00866,2026-03-22 12:32:56.109159,2026-04-21 12:32:56.109160,18.58
CBEN_00029,CUST_01649,BENE_01882,2026-04-12 12:32:56.109162,2026-05-07 12:32:56.109163,32.44
CBEN_00030,CUST_01943,BENE_00769,2025-11-08 12:32:56.109165,2026-05-27 12:32:56.109166,31.31
CBEN_00031,CUST_00563,BENE_00576,2026-02-19 12:32:56.109168,2026-05-21 12:32:56.109170,0.53
CBEN_00032,CUST_00681,BENE_01826,2026-02-25 12:32:56.109173,2026-06-05 12:32:56.109174,42.0
CBEN_00033,CUST_00877,BENE_00191,2025-12-23 12:32:56.109176,2026-04-16 12:32:56.109177,16.73
CBEN_00034,CUST_00159,BENE_01580,2025-09-14 12:32:56.109180,2026-05-19 12:32:56.109181,31.42
CBEN_00035,CUST_00126,BENE_00257,2025-10-05 12:32:56.109184,2026-05-17 12:32:56.109185,41.82
CBEN_00036,CUST_00226,BENE_01571,2025-10-13 12:32:56.109187,2026-06-12 12:32:56.109189,49.23
CBEN_00037,CUST_01822,BENE_02914,2025-06-03 12:32:56.109191,2026-06-12 12:32:56.109192,41.72
CBEN_00038,CUST_01194,BENE_00326,2025-10-13 12:32:56.109194,2026-05-03 12:32:56.109195,18.63
CBEN_00039,CUST_01969,BENE_01508,2025-08-24 12:32:56.109197,2026-05-17 12:32:56.109198,16.49
CBEN_00040,CUST_01175,BENE_01112,2025-07-14 12:32:56.109200,2026-04-17 12:32:56.109201,28.72
CBEN_00041,CUST_00662,BENE_02191,2025-08-15 12:32:56.109203,2026-05-08 12:32:56.109204,34.98
CBEN_00042,CUST_00660,BENE_01020,2025-12-09 12:32:56.109206,2026-05-07 12:32:56.109207,4.81
CBEN_00043,CUST_01342,BENE_02527,2025-06-11 12:32:56.109210,2026-05-25 12:32:56.109213,24.38
CBEN_00044,CUST_01266,BENE_00174,2025-12-21 12:32:56.109215,2026-05-15 12:32:56.109217,7.6
CBEN_00045,CUST_01311,BENE_02980,2025-06-29 12:32:56.109219,2026-04-21 12:32:56.109220,29.68
CBEN_00046,CUST_01395,BENE_02395,2026-01-08 12:32:56.109222,2026-05-24 12:32:56.109223,43.48
CBEN_00047,CUST_00389,BENE_02548,2026-03-04 12:32:56.109225,2026-04-30 12:32:56.109226,39.54
CBEN_00048,CUST_00094,BENE_00820,2025-06-29 12:32:56.109228,2026-04-28 12:32:56.109229,46.4
CBEN_00049,CUST_01905,BENE_01136,2025-09-29 12:32:56.109231,2026-04-23 12:32:56.109233,42.34
CBEN_00050,CUST_00964,BENE_01036,2025-06-16 12:32:56.109235,2026-06-06 12:32:56.109236,1.35
CBEN_00051,CUST_00094,BENE_01662,2025-08-25 12:32:56.109238,2026-05-17 12:32:56.109239,45.33
CBEN_00052,CUST_01290,BENE_02713,2025-11-27 12:32:56.109241,2026-05-13 12:32:56.109242,3.56
CBEN_00053,CUST_00111,BENE_01233,2025-11-09 12:32:56.109244,2026-06-02 12:32:56.109245,12.56
