customer_device_id,customer_id,device_id,first_seen,last_seen
CDEV_00001,CUST_01144,DEV_00217,2026-05-09 12:32:56.093975,2026-05-29 12:32:56.093982
CDEV_00002,CUST_01789,DEV_00610,2026-04-22 12:32:56.093987,2026-05-24 12:32:56.093990
CDEV_00003,CUST_00729,DEV_00272,2025-09-10 12:32:56.093993,2026-05-27 12:32:56.093995
CDEV_00004,CUST_01884,DEV_01222,2025-10-08 12:32:56.093997,2026-05-26 12:32:56.093998
CDEV_00005,CUST_00942,DEV_00877,2025-12-02 12:32:56.093999,2026-05-30 12:32:56.094001
CDEV_00006,CUST_00028,DEV_01024,2025-11-04 12:32:56.094002,2026-06-12 12:32:56.094004
CDEV_00007,CUST_00661,DEV_00099,2026-03-19 12:32:56.094007,2026-05-27 12:32:56.094008
CDEV_00008,CUST_01762,DEV_00689,2025-08-19 12:32:56.094010,2026-06-06 12:32:56.094011
CDEV_00009,CUST_01423,DEV_00744,2026-05-08 12:32:56.094013,2026-06-05 12:32:56.094014
CDEV_00010,CUST_00758,DEV_00380,2026-03-22 12:32:56.094016,2026-05-22 12:32:56.094017
CDEV_00011,CUST_00415,DEV_00762,2025-12-01 12:32:56.094018,2026-05-24 12:32:56.094019
CDEV_00012,CUST_01059,DEV_01217,2025-12-24 12:32:56.094021,2026-05-24 12:32:56.094022
CDEV_00013,CUST_00030,DEV_00790,2025-12-21 12:32:56.094024,2026-05-29 12:32:56.094025
CDEV_00014,CUST_00804,DEV_00515,2025-12-10 12:32:56.094026,2026-05-18 12:32:56.094027
CDEV_00015,CUST_00442,DEV_00069,2025-09-02 12:32:56.094029,2026-06-06 12:32:56.094030
CDEV_00016,CUST_00656,DEV_01494,2026-01-14 12:32:56.094031,2026-06-05 12:32:56.094032
CDEV_00017,CUST_00406,DEV_01365,2026-01-21 12:32:56.094033,2026-06-02 12:32:56.094035
CDEV_00018,CUST_00600,DEV_00108,2025-09-17 12:32:56.094036,2026-06-06 12:32:56.094038
CDEV_00019,CUST_00184,DEV_00690,2025-10-06 12:32:56.094039,2026-05-20 12:32:56.094040
CDEV_00020,CUST_01080,DEV_00875,2025-09-13 12:32:56.094041,2026-06-12 12:32:56.094042
CDEV_00021,CUST_00632,DEV_01073,2026-03-28 12:32:56.094044,2026-05-23 12:32:56.094045
CDEV_00022,CUST_00617,DEV_00070,2025-10-09 12:32:56.094046,2026-05-28 12:32:56.094047
CDEV_00023,CUST_00726,DEV_00289,2025-11-12 12:32:56.094048,2026-06-09 12:32:56.094049
CDEV_00024,CUST_00133,DEV_01015,2025-11-11 12:32:56.094051,2026-05-18 12:32:56.094052
CDEV_00025,CUST_00714,DEV_00404,2026-01-12 12:32:56.094053,2026-06-11 12:32:56.094054
CDEV_00026,CUST_01439,DEV_01367,2025-09-10 12:32:56.094056,2026-05-19 12:32:56.094057
CDEV_00027,CUST_01555,DEV_00192,2025-12-03 12:32:56.094059,2026-06-12 12:32:56.094060
CDEV_00028,CUST_00420,DEV_00797,2026-01-05 12:32:56.094061,2026-06-13 12:32:56.094062
CDEV_00029,CUST_00812,DEV_00977,2026-01-26 12:32:56.094064,2026-05-29 12:32:56.094065
CDEV_00030,CUST_00461,DEV_00058,2026-05-06 12:32:56.094066,2026-06-11 12:32:56.094068
CDEV_00031,CUST_00256,DEV_01403,2026-03-17 12:32:56.094069,2026-05-28 12:32:56.094070
CDEV_00032,CUST_00841,DEV_00507,2025-11-29 12:32:56.094071,2026-05-25 12:32:56.094073
CDEV_00033,CUST_00076,DEV_00565,2025-10-24 12:32:56.094074,2026-05-27 12:32:56.094075
CDEV_00034,CUST_01730,DEV_01098,2025-09-28 12:32:56.094076,2026-06-05 12:32:56.094079
CDEV_00035,CUST_00577,DEV_00831,2026-05-06 12:32:56.094081,2026-05-21 12:32:56.094082
CDEV_00036,CUST_00861,DEV_00376,2025-11-13 12:32:56.094083,2026-06-08 12:32:56.094085
CDEV_00037,CUST_00274,DEV_00792,2026-05-05 12:32:56.094086,2026-06-03 12:32:56.094087
CDEV_00038,CUST_01256,DEV_00337,2025-11-15 12:32:56.094088,2026-06-12 12:32:56.094090
