merchant_id,merchant_name,merchant_category,merchant_country,merchant_risk_rating,fraud_transaction_count,total_transaction_count,merchant_status,created_at
MERCH_00001,"May, Lambert and Jenkins",Shell Utility,Dominican Republic,Medium,2,1611,Active,2023-12-15 12:32:56.079681
MERCH_00002,Cordova Ltd,Crypto Exchange,Croatia,High,27,3228,Under Review,2025-02-06 12:32:56.079756
MERCH_00003,Mcmillan Inc,Crypto Exchange,Mozambique,Low,1,4124,Active,2024-12-22 12:32:56.079820
MERCH_00004,Lee Inc,Gaming,Netherlands Antilles,Low,0,2948,Active,2025-05-25 12:32:56.079882
MERCH_00005,Alvarado LLC,Crypto Exchange,Germany,Low,2,689,Active,2024-11-02 12:32:56.079941
MERCH_00006,Johnson and Sons,Retail,French Southern Territories,Medium,0,1135,Active,2023-12-05 12:32:56.080001
MERCH_00007,"Schwartz, Duncan and Robbins",Retail,New Caledonia,Low,2,3307,Active,2025-07-21 12:32:56.080143
MERCH_00008,Garcia-Cooper,Crypto Exchange,Congo,Low,2,2625,Active,2024-03-23 12:32:56.080242
MERCH_00009,Reed-Lewis,Shell Utility,Bolivia,Medium,1,4509,Active,2024-05-18 12:32:56.080339
MERCH_00010,Reed Ltd,Electronics,Zambia,Medium,1,4203,Active,2023-12-03 12:32:56.080397
MERCH_00011,French-Thompson,Retail,Saint Helena,Low,0,4182,Active,2024-07-12 12:32:56.080494
MERCH_00012,Gilbert Ltd,Crypto Exchange,Taiwan,Low,1,4677,Active,2024-12-24 12:32:56.080552
MERCH_00013,Neal PLC,Retail,Anguilla,Low,1,1838,Active,2024-05-23 12:32:56.080611
MERCH_00014,Scott-Ruiz,Shell Utility,Eritrea,Medium,0,1626,Active,2024-02-04 12:32:56.080713
MERCH_00015,Alvarado-Barnes,Retail,French Southern Territories,Low,2,4982,Active,2024-12-20 12:32:56.080811
MERCH_00016,Phillips and Sons,Crypto Exchange,United Arab Emirates,Low,0,1791,Active,2025-06-15 12:32:56.080868
MERCH_00017,"Sloan, Evans and Morrison",Crypto Exchange,Guatemala,Low,1,2101,Active,2023-04-01 12:32:56.081006
MERCH_00018,"Lyons, Russo and Perez",Retail,Iran,Low,2,823,Active,2024-08-11 12:32:56.081147
MERCH_00019,Trujillo-Guzman,Crypto Exchange,Kiribati,High,20,3786,Under Review,2024-09-30 12:32:56.081245
MERCH_00020,Martinez and Sons,Electronics,Costa Rica,Medium,1,1136,Active,2023-08-13 12:32:56.081302
MERCH_00021,Jones-Ellis,Retail,Austria,Medium,1,4929,Active,2024-08-23 12:32:56.081398
MERCH_00022,"Contreras, Avila and Anderson",Electronics,Saudi Arabia,Medium,2,3822,Active,2025-01-31 12:32:56.081535
MERCH_00023,Riddle-Spencer,Retail,Jordan,Low,1,958,Active,2024-05-17 12:32:56.081630
MERCH_00024,Johnson-King,Shell Utility,Bosnia and Herzegovina,Low,1,2939,Active,2024-02-09 12:32:56.081731
MERCH_00025,Richardson-Lewis,Gaming,Saint Kitts and Nevis,Low,2,1011,Active,2025-04-13 12:32:56.081828
MERCH_00026,"Larson, Williams and Sanders",Crypto Exchange,Timor-Leste,Medium,2,3833,Active,2024-03-25 12:32:56.081968
MERCH_00027,Morales PLC,Electronics,Jordan,Medium,1,3908,Active,2025-06-07 12:32:56.082025
MERCH_00028,Vasquez-Mcdonald,Crypto Exchange,Uzbekistan,Low,1,3769,Active,2023-07-25 12:32:56.082120
MERCH_00029,"Morris, Bray and Baker",Electronics,Austria,High,19,1755,Under Review,2023-06-01 12:32:56.082259
MERCH_00030,"Bowman, Miller and Gutierrez",Electronics,Congo,Medium,1,1115,Active,2024-04-11 12:32:56.082399
MERCH_00031,"Gilbert, Herring and Guerra",Electronics,Botswana,Low,0,1749,Active,2023-10-07 12:32:56.082540
MERCH_00032,Johnson Group,Retail,Namibia,Medium,2,3367,Active,2024-12-26 12:32:56.082595
MERCH_00033,"Bell, Murphy and Williams",Shell Utility,United States Virgin Islands,Low,1,4271,Active,2023-10-16 12:32:56.082739
MERCH_00034,"Miller, Carney and Morgan",Gaming,Andorra,Low,0,3394,Active,2023-11-06 12:32:56.082877
MERCH_00035,Brooks-Savage,Gaming,Micronesia,Medium,2,4385,Active,2023-06-08 12:32:56.082974
MERCH_00036,"Weeks, Robertson and Zuniga",Shell Utility,Dominican Republic,Medium,0,4256,Active,2025-02-24 12:32:56.083111
MERCH_00037,Gaines LLC,Gaming,Portugal,Low,2,3280,Active,2023-09-01 12:32:56.083167
MERCH_00038,Cook-Greene,Retail,Honduras,Low,2,2588,Active,2025-07-19 12:32:56.083264
MERCH_00039,Jackson PLC,Shell Utility,Saint Lucia,Low,2,4620,Active,2024-07-04 12:32:56.083320
MERCH_00040,Brown-Noble,Gaming,Malawi,Medium,1,2844,Active,2024-02-19 12:32:56.083419
MERCH_00041,Smith Inc,Gaming,Maldives,Medium,0,2404,Active,2024-09-26 12:32:56.083475
MERCH_00042,"Hutchinson, Garza and Clark",Electronics,Czech Republic,Medium,0,2464,Active,2023-12-10 12:32:56.083613
MERCH_00043,"Allen, Brown and Dickerson",Shell Utility,United Arab Emirates,Medium,2,4218,Active,2024-06-30 12:32:56.083756
MERCH_00044,Evans-Johnson,Gaming,Cambodia,Medium,0,3231,Active,2023-03-15 12:32:56.083857
MERCH_00045,"Chen, Johnson and Johnston",Gaming,Martinique,Medium,0,3698,Active,2023-11-12 12:32:56.083998
