behavior_id,customer_id,transaction_id,device_id,login_timestamp,logout_timestamp,session_duration_minutes,behavior_risk_score,account_takeover_suspected,transaction_frequency_24h,avg_transaction_amount_7d,failed_transaction_count_24h,unusual_amount_flag,unusual_location_flag,typing_speed_flag,fraud_flag,fraud_risk,created_at
BEH_00001,CUST_00385,TX_c5ebfbdcd8d14573a0fae5e23610ff34,DEV_00127,2026-02-02 22:40:51.710558,2026-02-02 22:59:51.710558,19,5.55,False,4,165.95,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00002,CUST_00295,TX_2559ceedbabe45c5a65a115b11e1062f,DEV_01139,2026-06-06 09:52:51.710558,2026-06-06 10:08:51.710558,16,6.71,False,3,288.48,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00003,CUST_00636,TX_09bd8118423f42749cdea12cf709f18c,DEV_00835,2026-02-23 02:37:51.710558,2026-02-23 02:47:51.710558,10,28.6,False,5,269.59,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00004,CUST_01734,TX_7cc55f223f844e3088b78e40ecac551d,DEV_01156,2026-03-23 16:59:51.710558,2026-03-23 17:06:51.710558,7,25.12,False,3,369.87,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00005,CUST_01285,TX_81f13f368763437ea506b3c338364dcc,DEV_00105,2026-03-26 10:15:51.710558,2026-03-26 10:32:51.710558,17,5.77,False,1,42.17,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00006,CUST_00047,TX_82b9b4a520264178bed0d27b204a5e75,DEV_01364,2026-02-07 09:45:51.710558,2026-02-07 10:07:51.710558,22,1.17,False,4,304.69,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00007,CUST_00111,TX_f59ecb68db5440fd8344efef18bdaeb4,DEV_01077,2026-01-26 06:47:51.710558,2026-01-26 07:09:51.710558,22,4.18,False,4,284.08,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00008,CUST_00219,TX_bd3b10f91ab248e680afebf02b538f50,DEV_00974,2026-03-18 10:42:51.710558,2026-03-18 10:45:51.710558,3,29.52,False,3,260.55,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00009,CUST_01672,TX_5c1e9bb9230142c6b020fe6476e7de1e,DEV_01067,2026-01-08 21:05:51.710558,2026-01-08 21:19:51.710558,14,30.62,False,1,434.11,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00010,CUST_01366,TX_b6e792a018ab4e829ebd421adddf27c1,DEV_00438,2026-02-22 09:04:51.710558,2026-02-22 09:23:51.710558,19,39.83,False,3,428.6,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00011,CUST_00792,TX_1d7ac12316334252ad925c65a5129df8,DEV_00017,2026-05-18 17:45:51.710558,2026-05-18 18:01:51.710558,16,1.64,False,3,367.07,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00012,CUST_00860,TX_5cdc69c5cc4c419b94b77261702818e3,DEV_00921,2026-01-09 17:17:51.710558,2026-01-09 17:25:51.710558,8,38.34,False,3,39.58,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00013,CUST_01731,TX_fc1050f89483404a8cca0761f5c636be,DEV_01033,2026-02-01 10:17:51.710558,2026-02-01 10:24:51.710558,7,2.21,False,1,487.4,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00014,CUST_00965,TX_250826649c2c4ac68e655d8bd8cc86da,DEV_00148,2026-05-02 16:24:51.710558,2026-05-02 16:33:51.710558,9,23.35,False,4,36.54,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00015,CUST_00244,TX_d868ed450848423a8712e16787901774,DEV_00877,2026-01-02 14:55:51.710558,2026-01-02 15:15:51.710558,20,23.03,False,1,300.52,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00016,CUST_00581,TX_7c9ca107167d4889b4f3c4340dda8b43,DEV_01426,2026-03-21 16:44:51.710558,2026-03-21 16:53:51.710558,9,39.22,False,3,64.68,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00017,CUST_00364,TX_7a05eead9af44968a76bbf9640bb8d0a,DEV_01246,2026-05-16 16:01:51.710558,2026-05-16 16:21:51.710558,20,23.6,False,4,377.73,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00018,CUST_01034,TX_0c9188094eec456bb91fbc2ea5cd1348,DEV_00766,2026-05-16 06:34:51.710558,2026-05-16 06:45:51.710558,11,7.63,False,2,197.95,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00019,CUST_01372,TX_8dec0dc492f74750b06e09f93d72a5b6,DEV_01165,2026-01-31 05:50:51.710558,2026-01-31 06:02:51.710558,12,13.5,False,2,294.87,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00020,CUST_01886,TX_1635d42ca4b74873a61dc48d3c7e6a4b,DEV_00317,2026-02-03 02:36:51.710558,2026-02-03 02:52:51.710558,16,22.33,False,5,83.01,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00021,CUST_01298,TX_965ebfa5d7714fcaa6836a2d838f0140,DEV_01277,2026-02-09 07:26:51.710558,2026-02-09 07:42:51.710558,16,7.05,False,2,177.86,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00022,CUST_01648,TX_3adc7ef627304ed984bc5ccb9bf698b7,DEV_00884,2026-02-15 12:27:51.710558,2026-02-15 12:43:51.710558,16,15.13,False,1,434.71,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00023,CUST_01232,TX_0cabc172ed534f6299b8f9cf3aa9974d,DEV_00615,2026-02-01 08:58:51.710558,2026-02-01 09:01:51.710558,3,11.88,False,5,147.7,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00024,CUST_01115,TX_d09669ab6fd241e99f046a6cb315685b,DEV_00500,2025-12-31 12:40:51.710558,2025-12-31 13:02:51.710558,22,2.65,False,1,425.79,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00025,CUST_01591,TX_2fe6e9338ce646769fd59b306eedebc6,DEV_00002,2026-03-12 07:57:51.710558,2026-03-12 08:09:51.710558,12,98.36,True,46,35999.32,7,True,True,True,True,High,2026-06-13 12:04:53.669677
BEH_00026,CUST_00875,TX_b43caeaf9fe947bb84af8983f23ec328,DEV_00454,2026-05-02 04:14:51.710558,2026-05-02 04:27:51.710558,13,26.62,False,3,390.99,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00027,CUST_01385,TX_eb03175439164a548731f541b8f9377d,DEV_00248,2026-02-22 18:40:51.710558,2026-02-22 18:52:51.710558,12,6.28,False,3,205.49,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00028,CUST_00818,TX_b99e8e679d494f46b169a62a6bca4a7b,DEV_00445,2026-03-13 21:49:51.710558,2026-03-13 21:58:51.710558,9,32.65,False,1,475.14,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00029,CUST_00388,TX_9088f4db38e048ce814ed3a473443f51,DEV_00409,2026-04-12 21:58:51.710558,2026-04-12 22:16:51.710558,18,2.45,False,4,206.58,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00030,CUST_00717,TX_f68f849e31664a67986ddb79ba589368,DEV_00986,2025-12-18 12:56:51.710558,2025-12-18 13:11:51.710558,15,2.46,False,1,48.85,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00031,CUST_00124,TX_62666deefac9451993af6a5778622a39,DEV_01085,2026-03-28 17:16:51.710558,2026-03-28 17:38:51.710558,22,18.13,False,2,67.38,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00032,CUST_01418,TX_348264dbf487466aad62182b10c6b13d,DEV_01360,2026-05-24 01:34:51.710558,2026-05-24 01:50:51.710558,16,37.01,False,5,334.04,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00033,CUST_00435,TX_3fb9c529afbf44d9a47ccd1e6acc7a65,DEV_00264,2026-05-07 08:00:51.710558,2026-05-07 08:17:51.710558,17,29.39,False,4,219.29,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00034,CUST_01336,TX_e7714c42527b4a6fadfcb9b0a5c00900,DEV_00583,2026-03-15 04:21:51.710558,2026-03-15 04:32:51.710558,11,10.08,False,4,74.09,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00035,CUST_00333,TX_0e5db2aa823a4f56a3111ca74a6177e5,DEV_00061,2026-02-27 11:43:51.710558,2026-02-27 12:05:51.710558,22,29.14,False,5,24.81,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00036,CUST_01957,TX_c8c6939dbe044cd598186959027b1f60,DEV_00852,2026-05-30 16:56:51.710558,2026-05-30 17:12:51.710558,16,11.39,False,3,289.42,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00037,CUST_01523,TX_6c254da5d76e4ee489c93b7d7ffd788f,DEV_00566,2025-12-28 11:53:51.710558,2025-12-28 12:00:51.710558,7,20.42,False,3,439.49,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00038,CUST_00263,TX_6983424e17104a05aaebbc0f0f36c416,DEV_00658,2026-01-04 13:55:51.710558,2026-01-04 14:11:51.710558,16,38.44,False,3,260.59,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00039,CUST_01304,TX_70f2271921234d50a7380bacc772d103,DEV_00745,2026-06-09 08:50:51.710558,2026-06-09 09:13:51.710558,23,2.53,False,4,326.95,0,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00040,CUST_01318,TX_144495f976c9408fb93a132dc051fd2c,DEV_00604,2026-04-22 01:15:51.710558,2026-04-22 01:28:51.710558,13,1.82,False,4,457.07,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00041,CUST_00330,TX_596e984cafa9452ba364e6dc0cf3093d,DEV_01260,2026-01-20 06:58:51.710558,2026-01-20 07:19:51.710558,21,16.75,False,4,147.85,1,False,False,False,False,Low,2026-06-13 12:04:53.669677
BEH_00042,CUST_00652,TX_fcc9789e8b12454abb78f692866e885a,DEV_01104,2026-02-08 07:31:51.710558,2026-02-08 07:43:51.710558,12,12.37,False,3,404.3,1,False,False,False,False,Low,2026-06-13 12:04:53.670684
BEH_00043,CUST_00098,TX_1b64055564d34cd6ae2038904cc46bf7,DEV_01026,2026-04-18 14:41:51.710558,2026-04-18 14:51:51.710558,10,27.39,False,1,129.76,1,False,False,False,False,Low,2026-06-13 12:04:53.670684
BEH_00044,CUST_01500,TX_dd513f941bde4fb5b1313d4d43b9b829,DEV_00225,2026-03-23 04:47:51.710558,2026-03-23 05:03:51.710558,16,8.94,False,5,229.85,0,False,False,False,False,Low,2026-06-13 12:04:53.670684
