customer_beneficiary_id,customer_id,beneficiary_id,first_transaction_date,last_transaction_date,relationship_risk_score
CBEN_00001,CUST_01296,BENE_00642,2025-06-11 12:04:51.485111,2026-05-29 12:04:51.485111,41.64
CBEN_00002,CUST_01501,BENE_00922,2026-01-30 12:04:51.485111,2026-06-08 12:04:51.485111,13.77
CBEN_00003,CUST_00381,BENE_01983,2026-02-06 12:04:51.485111,2026-05-09 12:04:51.485111,22.04
CBEN_00004,CUST_01466,BENE_00540,2025-07-23 12:04:51.485111,2026-05-06 12:04:51.485111,30.12
CBEN_00005,CUST_00719,BENE_01854,2025-06-21 12:04:51.485111,2026-04-17 12:04:51.485111,28.25
CBEN_00006,CUST_00935,BENE_00318,2026-02-04 12:04:51.485111,2026-05-11 12:04:51.485111,28.81
CBEN_00007,CUST_01000,BENE_00923,2025-12-15 12:04:51.485111,2026-06-12 12:04:51.485111,39.04
CBEN_00008,CUST_00144,BENE_00701,2026-01-09 12:04:51.485111,2026-05-08 12:04:51.485111,14.34
CBEN_00009,CUST_00234,BENE_00737,2025-10-12 12:04:51.485111,2026-06-03 12:04:51.485111,3.74
CBEN_00010,CUST_01063,BENE_01986,2025-10-13 12:04:51.485111,2026-06-09 12:04:51.485111,16.02
CBEN_00011,CUST_00876,BENE_02734,2026-03-19 12:04:51.485111,2026-05-08 12:04:51.485111,46.78
CBEN_00012,CUST_00769,BENE_02014,2026-02-19 12:04:51.485111,2026-05-07 12:04:51.485111,4.8
CBEN_00013,CUST_01333,BENE_02013,2025-05-15 12:04:51.485111,2026-05-17 12:04:51.485111,2.67
CBEN_00014,CUST_01469,BENE_01805,2025-07-09 12:04:51.485111,2026-05-21 12:04:51.485111,37.21
CBEN_00015,CUST_00923,BENE_00875,2025-07-18 12:04:51.485111,2026-05-07 12:04:51.485111,21.05
CBEN_00016,CUST_00725,BENE_00997,2025-12-01 12:04:51.485111,2026-05-04 12:04:51.485111,46.79
CBEN_00017,CUST_00732,BENE_00190,2026-03-11 12:04:51.485111,2026-05-08 12:04:51.485111,48.66
CBEN_00018,CUST_00082,BENE_02846,2025-11-26 12:04:51.485111,2026-06-12 12:04:51.485111,29.71
CBEN_00019,CUST_00628,BENE_01315,2025-12-12 12:04:51.485111,2026-05-09 12:04:51.485111,47.19
CBEN_00020,CUST_00335,BENE_01646,2025-09-07 12:04:51.485111,2026-05-21 12:04:51.485111,49.5
CBEN_00021,CUST_00161,BENE_01300,2025-08-22 12:04:51.485111,2026-06-08 12:04:51.485111,31.11
CBEN_00022,CUST_01132,BENE_02117,2026-01-09 12:04:51.485111,2026-04-16 12:04:51.485111,24.98
CBEN_00023,CUST_01061,BENE_00685,2026-03-19 12:04:51.485111,2026-04-30 12:04:51.485111,47.64
CBEN_00024,CUST_01064,BENE_01126,2025-12-06 12:04:51.485111,2026-05-11 12:04:51.485111,22.87
CBEN_00025,CUST_01839,BENE_02589,2025-07-17 12:04:51.485111,2026-05-13 12:04:51.485111,1.85
CBEN_00026,CUST_01742,BENE_02941,2025-09-22 12:04:51.485111,2026-05-19 12:04:51.485111,7.66
CBEN_00027,CUST_00807,BENE_02791,2026-03-31 12:04:51.485111,2026-04-19 12:04:51.485111,39.29
CBEN_00028,CUST_00900,BENE_00433,2026-03-21 12:04:51.485111,2026-04-20 12:04:51.485111,18.58
CBEN_00029,CUST_00642,BENE_01544,2026-04-11 12:04:51.485111,2026-05-06 12:04:51.485111,32.44
CBEN_00030,CUST_00775,BENE_00130,2025-11-07 12:04:51.485111,2026-05-26 12:04:51.485111,31.31
CBEN_00031,CUST_00416,BENE_02398,2026-02-18 12:04:51.485111,2026-05-20 12:04:51.485111,0.53
CBEN_00032,CUST_01127,BENE_02931,2026-02-24 12:04:51.485111,2026-06-04 12:04:51.485111,42.0
CBEN_00033,CUST_01191,BENE_01258,2025-12-22 12:04:51.485111,2026-04-15 12:04:51.485111,16.73
CBEN_00034,CUST_00243,BENE_01124,2025-09-13 12:04:51.485111,2026-05-18 12:04:51.485111,31.42
CBEN_00035,CUST_00220,BENE_00713,2025-10-04 12:04:51.485111,2026-05-16 12:04:51.485111,41.82
CBEN_00036,CUST_01144,BENE_02625,2025-10-12 12:04:51.485111,2026-06-11 12:04:51.485111,49.23
CBEN_00037,CUST_01327,BENE_00475,2025-06-02 12:04:51.485111,2026-06-11 12:04:51.485111,41.72
CBEN_00038,CUST_00828,BENE_00720,2025-10-12 12:04:51.485111,2026-05-02 12:04:51.485111,18.63
CBEN_00039,CUST_01481,BENE_02365,2025-08-23 12:04:51.485111,2026-05-16 12:04:51.485111,16.49
CBEN_00040,CUST_00225,BENE_01867,2025-07-13 12:04:51.485111,2026-04-16 12:04:51.485111,28.72
CBEN_00041,CUST_01498,BENE_01892,2025-08-14 12:04:51.485111,2026-05-07 12:04:51.485111,34.98
CBEN_00042,CUST_01707,BENE_00203,2025-12-08 12:04:51.485111,2026-05-06 12:04:51.485111,4.81
CBEN_00043,CUST_00657,BENE_01077,2025-06-10 12:04:51.485111,2026-05-24 12:04:51.485111,24.38
CBEN_00044,CUST_00809,BENE_01900,2025-12-20 12:04:51.485111,2026-05-14 12:04:51.485111,7.6
CBEN_00045,CUST_00939,BENE_00165,2025-06-28 12:04:51.485111,2026-04-20 12:04:51.485111,29.68
CBEN_00046,CUST_01260,BENE_01267,2026-01-07 12:04:51.485111,2026-05-23 12:04:51.485111,43.48
CBEN_00047,CUST_00685,BENE_01923,2026-03-03 12:04:51.485111,2026-04-29 12:04:51.485111,39.54
CBEN_00048,CUST_00996,BENE_02097,2025-06-28 12:04:51.485111,2026-04-27 12:04:51.485111,46.4
CBEN_00049,CUST_01472,BENE_00603,2025-09-28 12:04:51.485111,2026-04-22 12:04:51.485111,42.34
CBEN_00050,CUST_01912,BENE_02009,2025-06-15 12:04:51.485111,2026-06-05 12:04:51.485111,1.35
CBEN_00051,CUST_01321,BENE_01283,2025-08-24 12:04:51.485111,2026-05-16 12:04:51.485111,45.33
CBEN_00052,CUST_00729,BENE_01787,2025-11-26 12:04:51.485111,2026-05-12 12:04:51.485111,3.56
CBEN_00053,CUST_00446,BENE_02314,2025-11-08 12:04:51.485111,2026-06-01 12:04:51.485111,12.56
CBEN_00054,CUST_01460,BENE_00546,2025-05-16 12:04:51.485111,2026-05-29 12:04:51.485111,8.42
CBEN_00055,CUST_00903,BENE_00101,2026-02-22 12:04:51.485111,2026-06-08 12:04:51.485111,40.67
CBEN_00056,CUST_00630,BENE_01552,2025-06-21 12:04:51.485111,2026-06-09 12:04:51.485111,6.54
CBEN_00057,CUST_00383,BENE_00169,2025-05-18 12:04:51.485111,2026-05-17 12:04:51.485111,38.1
CBEN_00058,CUST_01295,BENE_02380,2026-02-05 12:04:51.485111,2026-05-28 12:04:51.485111,24.25
CBEN_00059,CUST_00474,BENE_02832,2026-01-06 12:04:51.485111,2026-05-03 12:04:51.485111,46.59
CBEN_00060,CUST_00976,BENE_02860,2026-02-18 12:04:51.485111,2026-04-23 12:04:51.485111,10.96
CBEN_00061,CUST_01279,BENE_02778,2025-12-08 12:04:51.485111,2026-06-12 12:04:51.485111,30.6
CBEN_00062,CUST_01750,BENE_00914,2025-07-13 12:04:51.485111,2026-05-28 12:04:51.485111,4.89
CBEN_00063,CUST_00327,BENE_00377,2025-12-01 12:04:51.485111,2026-05-20 12:04:51.485111,48.91
CBEN_00064,CUST_00672,BENE_01983,2025-12-08 12:04:51.485111,2026-05-12 12:04:51.485111,26.7
CBEN_00065,CUST_00244,BENE_00555,2026-04-08 12:04:51.485111,2026-05-30 12:04:51.485111,15.43
CBEN_00066,CUST_00592,BENE_00042,2025-12-24 12:04:51.485111,2026-04-22 12:04:51.485111,9.8
CBEN_00067,CUST_01242,BENE_02623,2026-01-12 12:04:51.485111,2026-05-11 12:04:51.485111,22.15
CBEN_00068,CUST_01311,BENE_00420,2025-05-25 12:04:51.485111,2026-06-03 12:04:51.485111,40.16
CBEN_00069,CUST_00738,BENE_00546,2025-09-13 12:04:51.485111,2026-05-23 12:04:51.485111,20.17
CBEN_00070,CUST_00950,BENE_02020,2025-07-06 12:04:51.485111,2026-05-18 12:04:51.485111,20.7
CBEN_00071,CUST_00131,BENE_01858,2025-07-16 12:04:51.485111,2026-06-10 12:04:51.485111,37.4
CBEN_00072,CUST_01661,BENE_01515,2025-10-26 12:04:51.485111,2026-04-15 12:04:51.485111,27.69
CBEN_00073,CUST_01568,BENE_00667,2026-03-29 12:04:51.485111,2026-06-09 12:04:51.485111,35.78
CBEN_00074,CUST_00178,BENE_02007,2025-07-04 12:04:51.485111,2026-05-07 12:04:51.485111,32.88
CBEN_00075,CUST_00827,BENE_01262,2025-12-25 12:04:51.485111,2026-05-09 12:04:51.485111,5.79
CBEN_00076,CUST_00960,BENE_01578,2025-08-17 12:04:51.485111,2026-04-20 12:04:51.485111,18.62
CBEN_00077,CUST_00997,BENE_02525,2026-03-18 12:04:51.485111,2026-04-15 12:04:51.485111,4.63
CBEN_00078,CUST_01520,BENE_00246,2025-11-05 12:04:51.485111,2026-05-26 12:04:51.485111,11.04
CBEN_00079,CUST_01720,BENE_01399,2025-07-10 12:04:51.485111,2026-04-29 12:04:51.485111,37.32
CBEN_00080,CUST_01327,BENE_02113,2025-10-26 12:04:51.485111,2026-05-14 12:04:51.485111,27.02
CBEN_00081,CUST_00030,BENE_01082,2025-07-02 12:04:51.485111,2026-05-03 12:04:51.485111,2.47
CBEN_00082,CUST_01315,BENE_01905,2025-08-11 12:04:51.485111,2026-05-14 12:04:51.485111,31.05
CBEN_00083,CUST_01517,BENE_02003,2025-11-25 12:04:51.485111,2026-05-04 12:04:51.485111,46.32
CBEN_00084,CUST_01901,BENE_02329,2026-02-19 12:04:51.485111,2026-04-22 12:04:51.485111,14.1
CBEN_00085,CUST_00855,BENE_00937,2025-07-17 12:04:51.485111,2026-05-10 12:04:51.485111,43.57
CBEN_00086,CUST_01862,BENE_02527,2026-02-15 12:04:51.485111,2026-05-21 12:04:51.485111,33.49
CBEN_00087,CUST_01863,BENE_01372,2025-05-25 12:04:51.485111,2026-04-23 12:04:51.485111,42.0
CBEN_00088,CUST_00642,BENE_02525,2025-11-14 12:04:51.485111,2026-05-26 12:04:51.485111,21.38
CBEN_00089,CUST_00340,BENE_02631,2026-02-26 12:04:51.485111,2026-04-17 12:04:51.485111,29.83
CBEN_00090,CUST_01541,BENE_02737,2025-06-14 12:04:51.485111,2026-05-22 12:04:51.485111,12.63
CBEN_00091,CUST_00391,BENE_01304,2025-08-25 12:04:51.485111,2026-06-07 12:04:51.485111,1.78
CBEN_00092,CUST_01834,BENE_00254,2025-09-18 12:04:51.485111,2026-04-15 12:04:51.485111,18.17
CBEN_00093,CUST_00854,BENE_00275,2026-02-01 12:04:51.485111,2026-04-15 12:04:51.485111,19.78
CBEN_00094,CUST_01508,BENE_00149,2025-09-07 12:04:51.485111,2026-05-09 12:04:51.485111,27.66
CBEN_00095,CUST_01417,BENE_00707,2025-11-17 12:04:51.485111,2026-04-19 12:04:51.485111,39.19
CBEN_00096,CUST_01120,BENE_01635,2025-10-26 12:04:51.485111,2026-05-28 12:04:51.485111,38.86
CBEN_00097,CUST_01095,BENE_00362,2025-05-25 12:04:51.485111,2026-04-30 12:04:51.485111,19.95
CBEN_00098,CUST_01417,BENE_00775,2025-08-03 12:04:51.485111,2026-04-22 12:04:51.485111,24.81
CBEN_00099,CUST_00110,BENE_00061,2025-09-05 12:04:51.485111,2026-05-20 12:04:51.485111,88.13
CBEN_00100,CUST_01982,BENE_00799,2025-10-16 12:04:51.485111,2026-05-04 12:04:51.485111,29.98
CBEN_00101,CUST_00029,BENE_00960,2026-01-18 12:04:51.485111,2026-05-01 12:04:51.485111,11.43
CBEN_00102,CUST_01392,BENE_01318,2025-11-21 12:04:51.485111,2026-04-24 12:04:51.485111,39.88
CBEN_00103,CUST_01313,BENE_01885,2025-12-16 12:04:51.485111,2026-04-16 12:04:51.485111,40.11
CBEN_00104,CUST_01447,BENE_01129,2026-02-21 12:04:51.485111,2026-04-20 12:04:51.485111,21.39
CBEN_00105,CUST_01089,BENE_00871,2026-01-10 12:04:51.485111,2026-05-19 12:04:51.485111,21.45
CBEN_00106,CUST_00540,BENE_00651,2025-11-28 12:04:51.485111,2026-05-11 12:04:51.485111,42.31
CBEN_00107,CUST_01567,BENE_00031,2025-06-04 12:04:51.485111,2026-05-02 12:04:51.485111,5.39
CBEN_00108,CUST_00098,BENE_02696,2025-05-18 12:04:51.485111,2026-05-18 12:04:51.485111,4.83
CBEN_00109,CUST_00817,BENE_00346,2025-09-29 12:04:51.485111,2026-04-17 12:04:51.485111,8.01
CBEN_00110,CUST_01483,BENE_01886,2025-07-24 12:04:51.485111,2026-05-29 12:04:51.485111,20.19
CBEN_00111,CUST_00167,BENE_02320,2025-10-25 12:04:51.485111,2026-05-09 12:04:51.485111,47.02
CBEN_00112,CUST_01229,BENE_00816,2025-05-12 12:04:51.485111,2026-05-20 12:04:51.485111,37.59
CBEN_00113,CUST_01559,BENE_01939,2026-01-02 12:04:51.485111,2026-06-07 12:04:51.485111,32.91
CBEN_00114,CUST_00928,BENE_02794,2026-03-03 12:04:51.485111,2026-05-03 12:04:51.485111,9.98
CBEN_00115,CUST_01150,BENE_02965,2026-01-04 12:04:51.485111,2026-05-21 12:04:51.485111,21.55
CBEN_00116,CUST_01698,BENE_02315,2026-02-18 12:04:51.485111,2026-05-15 12:04:51.485111,44.83
CBEN_00117,CUST_01601,BENE_01749,2026-01-21 12:04:51.485111,2026-05-12 12:04:51.485111,25.34
CBEN_00118,CUST_00939,BENE_02376,2025-08-14 12:04:51.485111,2026-05-31 12:04:51.485111,14.86
CBEN_00119,CUST_00908,BENE_00464,2025-08-24 12:04:51.485111,2026-04-20 12:04:51.485111,28.88
CBEN_00120,CUST_00315,BENE_00010,2026-01-06 12:04:51.485111,2026-05-15 12:04:51.485111,8.54
CBEN_00121,CUST_01067,BENE_01833,2026-01-15 12:04:51.485111,2026-05-29 12:04:51.485111,38.49
CBEN_00122,CUST_01266,BENE_00174,2026-02-17 12:04:51.485111,2026-05-13 12:04:51.485111,38.18
CBEN_00123,CUST_01293,BENE_02622,2026-03-07 12:04:51.485111,2026-05-04 12:04:51.485111,34.95
CBEN_00124,CUST_01021,BENE_01493,2025-09-18 12:04:51.485111,2026-05-08 12:04:51.485111,8.02
CBEN_00125,CUST_01544,BENE_02296,2026-01-17 12:04:51.485111,2026-05-21 12:04:51.485111,26.11
CBEN_00126,CUST_00195,BENE_02073,2025-10-22 12:04:51.485111,2026-05-01 12:04:51.485111,47.35
CBEN_00127,CUST_00292,BENE_00527,2025-11-26 12:04:51.485111,2026-05-01 12:04:51.485111,9.85
CBEN_00128,CUST_01841,BENE_01721,2025-12-25 12:04:51.485111,2026-05-03 12:04:51.485111,35.26
CBEN_00129,CUST_00276,BENE_00487,2025-11-05 12:04:51.485111,2026-04-29 12:04:51.485111,34.07
CBEN_00130,CUST_01150,BENE_00052,2025-08-04 12:04:51.485111,2026-05-24 12:04:51.485111,0.76
CBEN_00131,CUST_00235,BENE_00792,2025-08-28 12:04:51.485111,2026-05-24 12:04:51.485111,22.35
CBEN_00132,CUST_00757,BENE_02335,2026-03-31 12:04:51.485111,2026-04-18 12:04:51.485111,22.58
CBEN_00133,CUST_00242,BENE_01516,2025-06-06 12:04:51.485111,2026-05-13 12:04:51.485111,7.57
CBEN_00134,CUST_00053,BENE_01737,2025-05-28 12:04:51.485111,2026-05-17 12:04:51.485111,5.22
CBEN_00135,CUST_01395,BENE_00783,2025-08-08 12:04:51.485111,2026-05-21 12:04:51.485111,20.37
CBEN_00136,CUST_00682,BENE_00252,2025-09-02 12:04:51.485111,2026-05-12 12:04:51.485111,29.49
CBEN_00137,CUST_01796,BENE_02485,2026-03-17 12:04:51.485111,2026-05-19 12:04:51.485111,6.24
CBEN_00138,CUST_01238,BENE_00842,2025-12-11 12:04:51.485111,2026-04-26 12:04:51.485111,14.46
CBEN_00139,CUST_01940,BENE_02389,2026-01-28 12:04:51.485111,2026-05-22 12:04:51.485111,6.22
CBEN_00140,CUST_00549,BENE_00211,2025-07-29 12:04:51.485111,2026-06-10 12:04:51.485111,29.87
CBEN_00141,CUST_01814,BENE_01503,2025-12-02 12:04:51.485111,2026-05-22 12:04:51.485111,15.66
CBEN_00142,CUST_01833,BENE_00305,2025-06-19 12:04:51.485111,2026-04-16 12:04:51.485111,47.46
CBEN_00143,CUST_01964,BENE_01556,2026-02-09 12:04:51.485111,2026-05-25 12:04:51.485111,5.22
CBEN_00144,CUST_01560,BENE_02237,2026-02-07 12:04:51.485111,2026-05-11 12:04:51.485111,47.91
CBEN_00145,CUST_01500,BENE_00964,2025-12-14 12:04:51.485111,2026-05-24 12:04:51.485111,27.36
CBEN_00146,CUST_01422,BENE_00758,2026-04-11 12:04:51.485111,2026-06-08 12:04:51.485111,48.14
CBEN_00147,CUST_00392,BENE_02549,2026-03-01 12:04:51.485111,2026-05-01 12:04:51.485111,22.57
