customer_device_id,customer_id,device_id,first_seen,last_seen
CDEV_00001,CUST_00175,DEV_01353,2026-05-08 12:04:51.462636,2026-05-28 12:04:51.462636
CDEV_00002,CUST_00284,DEV_00572,2026-04-21 12:04:51.462636,2026-05-23 12:04:51.462636
CDEV_00003,CUST_01574,DEV_00713,2025-09-09 12:04:51.462636,2026-05-26 12:04:51.462636
CDEV_00004,CUST_01441,DEV_01475,2025-10-07 12:04:51.462636,2026-05-25 12:04:51.462636
CDEV_00005,CUST_01677,DEV_00923,2025-12-01 12:04:51.462636,2026-05-29 12:04:51.462636
CDEV_00006,CUST_00386,DEV_00421,2025-11-03 12:04:51.462636,2026-06-11 12:04:51.462636
CDEV_00007,CUST_01213,DEV_00545,2026-03-18 12:04:51.462636,2026-05-26 12:04:51.462636
CDEV_00008,CUST_01835,DEV_01463,2025-08-18 12:04:51.462636,2026-06-05 12:04:51.462636
CDEV_00009,CUST_01320,DEV_00749,2026-05-07 12:04:51.462636,2026-06-04 12:04:51.462636
CDEV_00010,CUST_01920,DEV_01375,2026-03-21 12:04:51.462636,2026-05-21 12:04:51.462636
CDEV_00011,CUST_01185,DEV_00037,2025-11-30 12:04:51.462636,2026-05-23 12:04:51.462636
CDEV_00012,CUST_01531,DEV_00090,2025-12-23 12:04:51.462636,2026-05-23 12:04:51.462636
CDEV_00013,CUST_01125,DEV_00137,2025-12-20 12:04:51.462636,2026-05-28 12:04:51.462636
CDEV_00014,CUST_00504,DEV_00263,2025-12-09 12:04:51.462636,2026-05-17 12:04:51.462636
CDEV_00015,CUST_00419,DEV_01340,2025-09-01 12:04:51.462636,2026-06-05 12:04:51.462636
CDEV_00016,CUST_00513,DEV_00414,2026-01-13 12:04:51.462636,2026-06-04 12:04:51.462636
CDEV_00017,CUST_01589,DEV_00529,2026-01-20 12:04:51.462636,2026-06-01 12:04:51.462636
CDEV_00018,CUST_01274,DEV_01043,2025-09-16 12:04:51.462636,2026-06-05 12:04:51.462636
CDEV_00019,CUST_01624,DEV_01454,2025-10-05 12:04:51.462636,2026-05-19 12:04:51.462636
CDEV_00020,CUST_01648,DEV_00029,2025-09-12 12:04:51.462636,2026-06-11 12:04:51.462636
CDEV_00021,CUST_01638,DEV_01294,2026-03-27 12:04:51.462636,2026-05-22 12:04:51.462636
CDEV_00022,CUST_01526,DEV_00887,2025-10-08 12:04:51.462636,2026-05-27 12:04:51.462636
CDEV_00023,CUST_00206,DEV_00815,2025-11-11 12:04:51.462636,2026-06-08 12:04:51.462636
CDEV_00024,CUST_01745,DEV_00596,2025-11-10 12:04:51.462636,2026-05-17 12:04:51.462636
CDEV_00025,CUST_00967,DEV_01357,2026-01-11 12:04:51.462636,2026-06-10 12:04:51.462636
CDEV_00026,CUST_01129,DEV_00668,2025-09-09 12:04:51.462636,2026-05-18 12:04:51.462636
CDEV_00027,CUST_00777,DEV_00029,2025-12-02 12:04:51.462636,2026-06-11 12:04:51.462636
