merchant_id,merchant_name,merchant_category,merchant_country,merchant_risk_rating,fraud_transaction_count,total_transaction_count,merchant_status,created_at
MERCH_00001,Rios and Sons,Shell Utility,Guinea,Medium,2,1611,Active,2023-12-14 12:04:51.438397
MERCH_00002,"Stevens, Davis and Lawrence",Crypto Exchange,Faroe Islands,High,27,3228,Under Review,2025-02-05 12:04:51.438397
MERCH_00003,Robinson-Hanson,Crypto Exchange,Cote d'Ivoire,Low,1,4124,Active,2024-12-21 12:04:51.438397
MERCH_00004,Miles Ltd,Gaming,Norway,Low,0,2948,Active,2025-05-24 12:04:51.438397
MERCH_00005,Reyes-Horton,Crypto Exchange,Finland,Low,2,689,Active,2024-11-01 12:04:51.438397
MERCH_00006,"French, Cole and Palmer",Retail,Maldives,Medium,0,1135,Active,2023-12-04 12:04:51.439400
MERCH_00007,"Williams, Clark and Martin",Retail,Guadeloupe,Low,2,3307,Active,2025-07-20 12:04:51.439400
MERCH_00008,"Wallace, Herrera and Mcdonald",Crypto Exchange,Malta,Low,2,2625,Active,2024-03-22 12:04:51.439400
MERCH_00009,Perry-Lynn,Shell Utility,Latvia,Medium,1,4509,Active,2024-05-17 12:04:51.439400
MERCH_00010,"Bell, Young and Smith",Electronics,Morocco,Medium,1,4203,Active,2023-12-02 12:04:51.439400
MERCH_00011,Burton LLC,Retail,Wallis and Futuna,Low,0,4182,Active,2024-07-11 12:04:51.439400
MERCH_00012,"Lewis, Christensen and Rodriguez",Crypto Exchange,Haiti,Low,1,4677,Active,2024-12-23 12:04:51.440430
MERCH_00013,"Figueroa, Johnson and Wright",Retail,Qatar,Low,1,1838,Active,2024-05-22 12:04:51.440430
MERCH_00014,"Boone, Thomas and Vazquez",Shell Utility,Armenia,Medium,0,1626,Active,2024-02-03 12:04:51.440430
MERCH_00015,"Turner, Hinton and Dorsey",Retail,Serbia,Low,2,4982,Active,2024-12-19 12:04:51.440430
MERCH_00016,"Armstrong, Maynard and Woods",Crypto Exchange,Estonia,Low,0,1791,Active,2025-06-14 12:04:51.441429
MERCH_00017,Shepherd-White,Crypto Exchange,South Africa,Low,1,2101,Active,2023-03-31 12:04:51.441429
MERCH_00018,Garcia-Howard,Retail,Congo,Low,2,823,Active,2024-08-10 12:04:51.441429
MERCH_00019,"Webb, Goodwin and Crawford",Crypto Exchange,Nicaragua,High,20,3786,Under Review,2024-09-29 12:04:51.441429
MERCH_00020,"Thompson, Gray and Jenkins",Electronics,Martinique,Medium,1,1136,Active,2023-08-12 12:04:51.441429
MERCH_00021,Jones Inc,Retail,Uzbekistan,Medium,1,4929,Active,2024-08-22 12:04:51.441429
MERCH_00022,Pham Inc,Electronics,Slovakia (Slovak Republic),Medium,2,3822,Active,2025-01-30 12:04:51.441429
MERCH_00023,Jordan PLC,Retail,Morocco,Low,1,958,Active,2024-05-16 12:04:51.441429
MERCH_00024,Clark and Sons,Shell Utility,Indonesia,Low,1,2939,Active,2024-02-08 12:04:51.442430
MERCH_00025,Briggs-Taylor,Gaming,Tuvalu,Low,2,1011,Active,2025-04-12 12:04:51.442430
MERCH_00026,"Santos, Singleton and Jones",Crypto Exchange,Singapore,Medium,2,3833,Active,2024-03-24 12:04:51.442430
MERCH_00027,Marks Group,Electronics,Saudi Arabia,Medium,1,3908,Active,2025-06-06 12:04:51.442430
MERCH_00028,Moore Inc,Crypto Exchange,Kazakhstan,Low,1,3769,Active,2023-07-24 12:04:51.442430
MERCH_00029,Ward-Wagner,Electronics,Northern Mariana Islands,High,19,1755,Under Review,2023-05-31 12:04:51.442430
MERCH_00030,Ward-Harris,Electronics,Cocos (Keeling) Islands,Medium,1,1115,Active,2024-04-10 12:04:51.442430
MERCH_00031,Myers Ltd,Electronics,South Georgia and the South Sandwich Islands,Low,0,1749,Active,2023-10-06 12:04:51.443398
MERCH_00032,Wright Ltd,Retail,Hong Kong,Medium,2,3367,Active,2024-12-25 12:04:51.443398
